epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.873,1.48897,1.88851,1.36644,0.19662,0.31662,0.08161,0.03076,1.89689,5.6364,1.90761,0.000547247,0.000547247,0.000547247
2,43.8798,1.44683,1.15229,1.31622,0.53271,0.47493,0.47931,0.26633,1.62363,2.3862,1.74055,0.00109563,0.00109563,0.00109563
3,63.3068,1.44858,1.10295,1.32269,0.60063,0.42615,0.44414,0.23031,1.82033,3.11921,1.74868,0.00163669,0.00163669,0.00163669
4,82.6473,1.43748,1.07402,1.31912,0.59998,0.41069,0.44106,0.26334,1.59084,3.49275,1.68693,0.00163399,0.00163399,0.00163399
5,101.932,1.39664,1.01409,1.28883,0.48337,0.45609,0.46095,0.28097,1.56655,2.86621,1.54602,0.00162299,0.00162299,0.00162299
6,121.076,1.36578,0.97034,1.27256,0.71139,0.54813,0.58673,0.34753,1.47545,1.36443,1.49313,0.00161199,0.00161199,0.00161199
7,140.356,1.34248,0.92008,1.25515,0.81791,0.53416,0.60428,0.33488,1.53342,1.37601,1.48855,0.00160099,0.00160099,0.00160099
8,159.477,1.31862,0.91971,1.24515,0.72138,0.544,0.59101,0.34767,1.43619,1.1228,1.43086,0.00158998,0.00158998,0.00158998
9,178.743,1.3028,0.87721,1.23497,0.66395,0.54526,0.56827,0.33288,1.45724,1.52195,1.44211,0.00157898,0.00157898,0.00157898
10,197.848,1.28532,0.85769,1.22154,0.78637,0.61508,0.64515,0.36676,1.41023,1.18064,1.39677,0.00156798,0.00156798,0.00156798
11,218.093,1.22656,0.79771,1.17492,0.80265,0.57157,0.66106,0.3696,1.44386,1.37755,1.41437,0.00155698,0.00155698,0.00155698
12,237.853,1.23498,0.79715,1.18411,0.80872,0.61363,0.67035,0.39807,1.37873,0.94492,1.38039,0.00154598,0.00154598,0.00154598
13,257.356,1.24245,0.80375,1.18612,0.7368,0.62925,0.67473,0.40093,1.40648,1.04557,1.381,0.00153497,0.00153497,0.00153497
14,276.876,1.23346,0.7895,1.18351,0.77141,0.63734,0.69186,0.40407,1.35085,0.93556,1.36425,0.00152397,0.00152397,0.00152397
15,296.522,1.1951,0.75348,1.15782,0.75579,0.67585,0.68851,0.40425,1.33639,0.88988,1.32964,0.00151297,0.00151297,0.00151297
16,315.599,1.17537,0.72752,1.1415,0.80684,0.62554,0.68196,0.40186,1.3636,0.95196,1.36688,0.00150197,0.00150197,0.00150197
17,334.706,1.20124,0.75169,1.16628,0.76769,0.68361,0.71889,0.41166,1.31323,0.93169,1.35158,0.00149096,0.00149096,0.00149096
18,353.923,1.17917,0.72181,1.14885,0.83278,0.66867,0.71366,0.41997,1.31116,0.95947,1.33477,0.00147996,0.00147996,0.00147996
19,373,1.15824,0.72036,1.14513,0.79277,0.65897,0.69797,0.42649,1.26606,0.96131,1.30553,0.00146896,0.00146896,0.00146896
20,392.149,1.16625,0.7184,1.15097,0.82992,0.70011,0.74924,0.44274,1.28001,0.879,1.31002,0.00145796,0.00145796,0.00145796
21,411.297,1.17045,0.70148,1.14629,0.84159,0.6836,0.74136,0.4365,1.32227,0.86571,1.33526,0.00144696,0.00144696,0.00144696
22,430.216,1.13199,0.68308,1.11957,0.85462,0.68987,0.7551,0.44356,1.30595,0.93665,1.30726,0.00143595,0.00143595,0.00143595
23,449.355,1.11805,0.68477,1.11966,0.78202,0.64355,0.69087,0.41307,1.30713,0.88382,1.34284,0.00142495,0.00142495,0.00142495
24,468.417,1.0998,0.65734,1.11012,0.79255,0.73624,0.76105,0.45864,1.27927,0.8627,1.3041,0.00141395,0.00141395,0.00141395
25,487.546,1.13291,0.66987,1.12264,0.84516,0.70705,0.75699,0.4558,1.26034,0.9081,1.28662,0.00140295,0.00140295,0.00140295
26,506.683,1.09482,0.65127,1.1005,0.83094,0.70831,0.7588,0.4591,1.303,0.86124,1.34336,0.00139195,0.00139195,0.00139195
27,525.797,1.10146,0.65802,1.10827,0.81576,0.7228,0.74385,0.4399,1.30642,0.8785,1.33366,0.00138094,0.00138094,0.00138094
28,544.848,1.08389,0.64247,1.09259,0.8741,0.69411,0.76294,0.45205,1.28652,0.8074,1.30665,0.00136994,0.00136994,0.00136994
29,564.013,1.09028,0.6347,1.10434,0.84039,0.7467,0.78577,0.45878,1.28001,0.8111,1.31625,0.00135894,0.00135894,0.00135894
30,583.055,1.08115,0.62775,1.10138,0.85491,0.72205,0.78618,0.46926,1.25263,0.79464,1.28467,0.00134794,0.00134794,0.00134794
31,602.11,1.0643,0.62081,1.08606,0.84161,0.74015,0.76683,0.45262,1.26212,0.86917,1.31615,0.00133693,0.00133693,0.00133693
32,621.205,1.07112,0.61948,1.0882,0.88452,0.74284,0.79231,0.47413,1.23639,0.88503,1.30304,0.00132593,0.00132593,0.00132593
33,640.263,1.08225,0.62717,1.09749,0.86358,0.71011,0.77139,0.47402,1.24386,0.81615,1.27255,0.00131493,0.00131493,0.00131493
34,660.217,1.06153,0.60277,1.07633,0.8364,0.76458,0.79777,0.48005,1.224,0.81368,1.28042,0.00130393,0.00130393,0.00130393
35,679.844,1.02561,0.58652,1.06408,0.87156,0.73151,0.78929,0.48068,1.25157,0.81503,1.30443,0.00129293,0.00129293,0.00129293
36,699.512,1.03392,0.59491,1.06859,0.85468,0.74317,0.80625,0.47216,1.23547,0.84899,1.28986,0.00128192,0.00128192,0.00128192
37,719.54,1.0285,0.58508,1.06531,0.86217,0.71683,0.78663,0.48256,1.24616,0.79262,1.29548,0.00127092,0.00127092,0.00127092
38,738.745,1.02715,0.58859,1.06382,0.8462,0.70954,0.7587,0.45356,1.26878,0.94451,1.31771,0.00125992,0.00125992,0.00125992
39,757.955,1.0148,0.57539,1.06174,0.85424,0.7299,0.78669,0.47751,1.24854,0.82715,1.2999,0.00124892,0.00124892,0.00124892
40,777.158,1.02268,0.5819,1.06344,0.88742,0.74866,0.81238,0.48748,1.2074,0.80346,1.24795,0.00123791,0.00123791,0.00123791
41,796.415,1.03179,0.58732,1.07389,0.8709,0.76068,0.81649,0.49226,1.22059,0.78141,1.25442,0.00122691,0.00122691,0.00122691
42,815.501,1.01702,0.57069,1.05708,0.86887,0.71199,0.77887,0.46352,1.26878,0.8114,1.2952,0.00121591,0.00121591,0.00121591
43,834.68,1.00489,0.5593,1.05445,0.85781,0.78341,0.82408,0.49812,1.19633,0.74118,1.24793,0.00120491,0.00120491,0.00120491
44,853.879,0.98938,0.54271,1.04388,0.89392,0.76325,0.82269,0.49746,1.22491,0.76036,1.27743,0.00119391,0.00119391,0.00119391
45,872.948,1.02143,0.56955,1.06858,0.84325,0.7494,0.7953,0.48123,1.23393,0.8047,1.27722,0.0011829,0.0011829,0.0011829
46,891.847,0.9943,0.54966,1.04769,0.8956,0.76943,0.82645,0.49743,1.19182,0.7368,1.26289,0.0011719,0.0011719,0.0011719
47,910.99,0.98763,0.54363,1.04587,0.88393,0.72521,0.80471,0.49733,1.21869,0.7821,1.26952,0.0011609,0.0011609,0.0011609
48,929.925,0.99923,0.54461,1.04331,0.89497,0.74781,0.81065,0.49218,1.19506,0.78382,1.24847,0.0011499,0.0011499,0.0011499
49,949.072,0.98278,0.54113,1.04526,0.858,0.76178,0.80235,0.49237,1.18975,0.72286,1.2408,0.00113889,0.00113889,0.00113889
50,968.184,0.9958,0.55197,1.04891,0.88436,0.74881,0.81396,0.49227,1.20568,0.7126,1.26914,0.00112789,0.00112789,0.00112789
51,987.202,0.98689,0.54757,1.04129,0.8682,0.77346,0.82295,0.50675,1.2083,0.77475,1.28035,0.00111689,0.00111689,0.00111689
52,1006.24,0.98622,0.54483,1.04233,0.87533,0.77764,0.82354,0.50333,1.23515,0.75408,1.3082,0.00110589,0.00110589,0.00110589
53,1025.21,0.97413,0.53489,1.03823,0.87618,0.76541,0.83014,0.50864,1.20999,0.71862,1.26146,0.00109489,0.00109489,0.00109489
54,1044.3,0.97291,0.53458,1.03499,0.88727,0.77432,0.82128,0.51068,1.19135,0.70831,1.25244,0.00108388,0.00108388,0.00108388
