epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6502,1.53402,1.7612,1.33745,0.76629,0.43177,0.48965,0.2726,1.63239,1.55014,1.60373,0.000550375,0.000550375,0.000550375
2,45.5864,1.60059,1.28022,1.37936,0.82165,0.34559,0.40454,0.20841,2.098,2.17049,2.02013,0.00110239,0.00110239,0.00110239
3,66.8308,1.60063,1.26771,1.38867,0.85476,0.34004,0.43815,0.22133,1.78973,3.39742,1.84855,0.00165074,0.00165074,0.00165074
4,87.6136,1.57255,1.22939,1.37282,0.46198,0.37199,0.42114,0.25936,1.66113,1.70515,1.64018,0.0016505,0.0016505,0.0016505
5,108.448,1.50908,1.1248,1.33,0.64571,0.50544,0.54611,0.30569,1.67588,1.4915,1.62661,0.001645,0.001645,0.001645
6,129.276,1.53381,1.12894,1.34686,0.85224,0.47969,0.55907,0.31117,1.6187,1.4584,1.5814,0.00163949,0.00163949,0.00163949
7,150.179,1.46365,1.0416,1.30144,0.78892,0.46807,0.52913,0.30002,1.6076,1.84235,1.55868,0.00163399,0.00163399,0.00163399
8,170.985,1.47062,1.07062,1.29834,0.66054,0.51136,0.5356,0.29991,1.59544,1.56056,1.55115,0.00162849,0.00162849,0.00162849
9,191.907,1.4269,1.01366,1.28764,0.67906,0.54596,0.58766,0.34412,1.52526,1.08721,1.52041,0.00162299,0.00162299,0.00162299
10,212.817,1.41644,0.99218,1.2853,0.56726,0.51254,0.51559,0.31976,1.52526,1.81007,1.54846,0.00161749,0.00161749,0.00161749
11,233.744,1.39762,0.97644,1.2646,0.76304,0.49581,0.5561,0.32666,1.49942,1.25799,1.52084,0.00161199,0.00161199,0.00161199
12,254.461,1.36748,0.94653,1.25122,0.84347,0.56341,0.6381,0.36226,1.44976,1.02449,1.48353,0.00160649,0.00160649,0.00160649
