epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.38,0.42585,0.63902,0.81918,0.99983,1,0.995,0.95732,0.28411,0.26875,0.72066,0.00333226,0.00333226,0.00333226
2,2197.96,0.41746,0.34122,0.81859,0.99931,0.99972,0.995,0.97126,0.24844,0.24733,0.7171,0.0066216,0.0066216,0.0066216
3,3211.13,0.3973,0.32835,0.82082,0.99744,0.99897,0.99497,0.9798,0.22924,0.21138,0.72717,0.00986694,0.00986694,0.00986694
4,4217.38,0.35265,0.28794,0.81608,0.99973,1,0.995,0.98805,0.18638,0.16726,0.71328,0.009802,0.009802,0.009802
5,5230.73,0.30854,0.25108,0.80131,0.99975,0.99995,0.995,0.98917,0.17371,0.15156,0.70606,0.009736,0.009736,0.009736
6,6248.64,0.28838,0.23557,0.79621,0.99995,1,0.995,0.99039,0.16181,0.14205,0.70264,0.00967,0.00967,0.00967
7,7262.45,0.27829,0.22618,0.79521,0.99986,0.99991,0.995,0.9912,0.15859,0.13063,0.70169,0.009604,0.009604,0.009604
8,8267.18,0.27106,0.21836,0.79353,0.99985,1,0.995,0.99119,0.15194,0.12306,0.69978,0.009538,0.009538,0.009538
9,9289.21,0.26344,0.21124,0.79206,0.9999,1,0.995,0.99153,0.1466,0.11585,0.69802,0.009472,0.009472,0.009472
10,10313.6,0.25548,0.20469,0.78908,0.99999,1,0.995,0.99211,0.14445,0.11349,0.69702,0.009406,0.009406,0.009406
11,11324.2,0.25058,0.19899,0.78823,0.99994,1,0.995,0.9919,0.14208,0.10737,0.69693,0.00934,0.00934,0.00934
12,12340.4,0.2474,0.19707,0.78765,0.99994,1,0.995,0.99211,0.14036,0.10716,0.69614,0.009274,0.009274,0.009274
13,13354.3,0.24636,0.19628,0.78758,0.99998,1,0.995,0.99229,0.13925,0.10396,0.69603,0.009208,0.009208,0.009208
14,14372.1,0.24164,0.19223,0.78569,0.99999,1,0.995,0.99212,0.13791,0.1012,0.6954,0.009142,0.009142,0.009142
15,15391.9,0.2402,0.19256,0.78592,0.99999,1,0.995,0.99226,0.13866,0.10237,0.69542,0.009076,0.009076,0.009076
16,16410.6,0.23711,0.18842,0.78657,0.99998,1,0.995,0.99224,0.13828,0.10037,0.69513,0.00901,0.00901,0.00901
17,17431.2,0.23729,0.1862,0.78502,0.99999,1,0.995,0.99241,0.13726,0.09902,0.69486,0.008944,0.008944,0.008944
18,18451.4,0.23234,0.18236,0.78594,0.99999,1,0.995,0.99245,0.13693,0.09777,0.69474,0.008878,0.008878,0.008878
19,19474.2,0.23481,0.1859,0.78494,0.99998,1,0.995,0.99245,0.13667,0.09783,0.6948,0.008812,0.008812,0.008812
20,20494.3,0.23306,0.18439,0.78505,0.99999,1,0.995,0.99253,0.13639,0.09684,0.69466,0.008746,0.008746,0.008746
21,21515.2,0.23147,0.18172,0.78452,0.99999,1,0.995,0.99254,0.13611,0.09687,0.69462,0.00868,0.00868,0.00868
22,22536.8,0.23101,0.18334,0.78495,0.99999,1,0.995,0.99255,0.13601,0.09646,0.69469,0.008614,0.008614,0.008614
23,23557.4,0.23093,0.18446,0.78456,0.99999,1,0.995,0.99267,0.13606,0.09659,0.69476,0.008548,0.008548,0.008548
24,24577.7,0.22746,0.18197,0.78191,0.99999,1,0.995,0.99264,0.13607,0.09651,0.69476,0.008482,0.008482,0.008482
25,25597.4,0.22805,0.17973,0.78423,0.99999,1,0.995,0.99267,0.13594,0.09646,0.69474,0.008416,0.008416,0.008416
26,26618.5,0.22619,0.1768,0.78375,0.99999,1,0.995,0.99265,0.13564,0.09649,0.69473,0.00835,0.00835,0.00835
27,27643.1,0.22499,0.17696,0.7823,0.99999,1,0.995,0.99261,0.13547,0.09678,0.6947,0.008284,0.008284,0.008284
28,28664.4,0.22427,0.17617,0.78292,0.99999,1,0.995,0.99253,0.13543,0.09815,0.6947,0.008218,0.008218,0.008218
29,29684.5,0.22284,0.17585,0.78314,0.99999,1,0.995,0.9925,0.13537,0.10414,0.69465,0.008152,0.008152,0.008152
30,30706.5,0.22284,0.17522,0.78292,0.99999,1,0.995,0.99255,0.13539,0.10704,0.69462,0.008086,0.008086,0.008086
31,31726.3,0.22236,0.17534,0.7823,0.99999,1,0.995,0.99241,0.1356,0.10377,0.69468,0.00802,0.00802,0.00802
32,32747.3,0.22097,0.1739,0.78212,0.99999,1,0.995,0.99242,0.13574,0.10189,0.69475,0.007954,0.007954,0.007954
33,33771.6,0.21949,0.17199,0.78303,0.99999,1,0.995,0.99241,0.1358,0.10074,0.69478,0.007888,0.007888,0.007888
34,34794.9,0.21902,0.17377,0.78184,0.99999,1,0.995,0.99244,0.13569,0.09962,0.69482,0.007822,0.007822,0.007822
35,35817.3,0.21964,0.1706,0.78204,0.99999,1,0.995,0.99243,0.13564,0.0986,0.69488,0.007756,0.007756,0.007756
36,36839.2,0.21852,0.17209,0.78115,0.99998,1,0.995,0.99242,0.13572,0.09861,0.69491,0.00769,0.00769,0.00769
37,37864.1,0.21851,0.17167,0.7813,0.99999,1,0.995,0.9924,0.13593,0.0988,0.69497,0.007624,0.007624,0.007624
38,38893.9,0.21807,0.17221,0.78008,0.99999,1,0.995,0.99245,0.13598,0.09938,0.69496,0.007558,0.007558,0.007558
39,39924.9,0.21747,0.16956,0.78078,0.99999,1,0.995,0.99246,0.13614,0.10105,0.69492,0.007492,0.007492,0.007492
40,40956.1,0.21637,0.16838,0.78068,0.99999,1,0.995,0.99246,0.13609,0.10253,0.69488,0.007426,0.007426,0.007426
41,41985.5,0.21637,0.16921,0.78113,0.99999,1,0.995,0.99249,0.13597,0.10273,0.69483,0.00736,0.00736,0.00736
42,43011,0.2145,0.16598,0.78064,0.99999,1,0.995,0.99253,0.13585,0.10168,0.69482,0.007294,0.007294,0.007294
43,44037.7,0.21438,0.16925,0.78066,0.99999,1,0.995,0.9926,0.13573,0.10061,0.69477,0.007228,0.007228,0.007228
44,45067.1,0.21423,0.1676,0.78277,0.99999,1,0.995,0.99259,0.13558,0.09908,0.69472,0.007162,0.007162,0.007162
45,46092.1,0.21439,0.16735,0.78139,0.99999,1,0.995,0.99262,0.13562,0.09841,0.69469,0.007096,0.007096,0.007096
46,47115.5,0.21404,0.16669,0.78006,0.99998,1,0.995,0.99258,0.13575,0.10219,0.69467,0.00703,0.00703,0.00703
47,48143.4,0.21316,0.16598,0.78041,0.99998,1,0.995,0.99261,0.13564,0.10276,0.69462,0.006964,0.006964,0.006964
48,49171.5,0.21306,0.16481,0.78181,0.99997,1,0.995,0.99265,0.13588,0.10076,0.69461,0.006898,0.006898,0.006898
49,50199.4,0.21133,0.16221,0.78,0.99997,1,0.995,0.99258,0.13582,0.09923,0.69457,0.006832,0.006832,0.006832
50,51226,0.21085,0.16234,0.78029,0.99995,1,0.995,0.9926,0.13606,0.0996,0.69448,0.006766,0.006766,0.006766
51,52253.5,0.21175,0.16212,0.77954,0.99995,1,0.995,0.99259,0.13641,0.09964,0.69439,0.0067,0.0067,0.0067
52,53282,0.2125,0.16428,0.7807,0.99994,1,0.995,0.99255,0.13619,0.09859,0.69425,0.006634,0.006634,0.006634
53,54311,0.21142,0.16391,0.78038,0.99994,1,0.995,0.9926,0.13578,0.09746,0.69414,0.006568,0.006568,0.006568
54,55342,0.21177,0.16374,0.78158,0.99994,1,0.995,0.99261,0.13583,0.09651,0.69406,0.006502,0.006502,0.006502
55,56373.1,0.20984,0.16193,0.78052,0.99995,1,0.995,0.99262,0.13589,0.0966,0.69396,0.006436,0.006436,0.006436
56,57403.3,0.20893,0.1612,0.77934,0.99995,1,0.995,0.99257,0.13589,0.09556,0.69389,0.00637,0.00637,0.00637
57,58435.6,0.20863,0.16075,0.77886,0.99995,1,0.995,0.99258,0.13578,0.0952,0.69385,0.006304,0.006304,0.006304
58,59471.7,0.20813,0.15955,0.78,0.99995,1,0.995,0.9926,0.13547,0.09449,0.69378,0.006238,0.006238,0.006238
59,60508.1,0.20725,0.16254,0.78078,0.99995,1,0.995,0.9926,0.13505,0.09373,0.69362,0.006172,0.006172,0.006172
60,61546.5,0.20837,0.16146,0.77972,0.99995,1,0.995,0.99262,0.13462,0.09314,0.69346,0.006106,0.006106,0.006106
61,62581.8,0.20801,0.16028,0.78005,0.99995,1,0.995,0.99261,0.13426,0.09237,0.69336,0.00604,0.00604,0.00604
62,63620.8,0.20647,0.15906,0.78151,0.99995,1,0.995,0.99259,0.13414,0.09158,0.69332,0.005974,0.005974,0.005974
63,64657.9,0.20613,0.1589,0.77938,0.99995,1,0.995,0.99257,0.13392,0.09118,0.69324,0.005908,0.005908,0.005908
64,65694.7,0.20719,0.15848,0.77961,0.99995,1,0.995,0.99261,0.13377,0.091,0.69321,0.005842,0.005842,0.005842
65,66730.1,0.20565,0.15774,0.78047,0.99996,1,0.995,0.99264,0.13353,0.09025,0.69318,0.005776,0.005776,0.005776
66,67767.6,0.20517,0.15885,0.78029,0.99997,1,0.995,0.99262,0.13341,0.08975,0.69315,0.00571,0.00571,0.00571
67,68804.9,0.20432,0.15774,0.77982,0.99997,1,0.995,0.99261,0.13341,0.08921,0.6931,0.005644,0.005644,0.005644
68,69844.2,0.20415,0.15608,0.77992,0.99997,1,0.995,0.99261,0.13317,0.08904,0.69304,0.005578,0.005578,0.005578
69,70880.5,0.20433,0.15846,0.77973,0.99996,1,0.995,0.99259,0.13314,0.08897,0.69298,0.005512,0.005512,0.005512
70,71915.5,0.20319,0.15729,0.7798,0.99996,1,0.995,0.99259,0.13335,0.08915,0.693,0.005446,0.005446,0.005446
71,72953.1,0.20276,0.15494,0.77986,0.99997,1,0.995,0.99258,0.13342,0.0894,0.69302,0.00538,0.00538,0.00538
72,73993.1,0.20091,0.15363,0.7786,0.99998,1,0.995,0.9926,0.13321,0.08984,0.69298,0.005314,0.005314,0.005314
73,75034.3,0.20151,0.15322,0.77915,0.99998,1,0.995,0.9926,0.13305,0.08923,0.69297,0.005248,0.005248,0.005248
74,76072.1,0.20073,0.15277,0.77966,0.99998,1,0.995,0.99265,0.13296,0.08904,0.69292,0.005182,0.005182,0.005182
75,77108.5,0.19958,0.15221,0.77858,0.99998,1,0.995,0.99265,0.1327,0.08894,0.69291,0.005116,0.005116,0.005116
76,993.205,0.19883,0.15132,0.77766,0.99998,1,0.995,0.99267,0.13233,0.08814,0.69278,0.00505,0.00505,0.00505
77,1985.15,0.20097,0.1526,0.77865,0.99998,1,0.995,0.99264,0.13216,0.08732,0.69265,0.004984,0.004984,0.004984
78,2979.28,0.19958,0.15268,0.77827,0.99998,1,0.995,0.99266,0.13188,0.08666,0.69253,0.004918,0.004918,0.004918
79,3971.34,0.19886,0.15102,0.7801,0.99998,1,0.995,0.9927,0.13168,0.08628,0.69246,0.004852,0.004852,0.004852
80,4963.81,0.19802,0.14956,0.77752,0.99998,1,0.995,0.99269,0.13152,0.08576,0.69238,0.004786,0.004786,0.004786
81,5956.58,0.198,0.15118,0.77678,0.99998,1,0.995,0.99277,0.13137,0.08546,0.69231,0.00472,0.00472,0.00472
82,6954.16,0.19813,0.1491,0.77852,0.99998,1,0.995,0.99272,0.13129,0.08576,0.6922,0.004654,0.004654,0.004654
83,7948.47,0.19821,0.14924,0.7784,0.99998,1,0.995,0.99278,0.13122,0.0859,0.69213,0.004588,0.004588,0.004588
84,8946.41,0.19634,0.14813,0.77866,0.99998,1,0.995,0.99275,0.1312,0.08596,0.69208,0.004522,0.004522,0.004522
85,9942.72,0.19582,0.14804,0.77752,0.99998,1,0.995,0.99278,0.131,0.08553,0.69208,0.004456,0.004456,0.004456
86,10949.1,0.19543,0.14662,0.77701,0.99998,1,0.995,0.99277,0.13096,0.08498,0.69206,0.00439,0.00439,0.00439
87,11948.3,0.19448,0.14551,0.7771,0.99998,1,0.995,0.99279,0.13085,0.0849,0.69199,0.004324,0.004324,0.004324
88,12951,0.19558,0.14875,0.77783,0.99998,1,0.995,0.99279,0.13073,0.08451,0.69192,0.004258,0.004258,0.004258
89,13958.2,0.19503,0.14689,0.7768,0.99998,1,0.995,0.99276,0.13042,0.0841,0.69185,0.004192,0.004192,0.004192
90,14964.7,0.19316,0.14562,0.77617,0.99998,1,0.995,0.99281,0.13021,0.08339,0.69181,0.004126,0.004126,0.004126
91,15969.5,0.19224,0.14603,0.77742,0.99998,1,0.995,0.99285,0.13004,0.08295,0.69176,0.00406,0.00406,0.00406
92,16977.5,0.19469,0.14892,0.77654,0.99999,1,0.995,0.99279,0.12999,0.08302,0.69171,0.003994,0.003994,0.003994
93,17985.9,0.19103,0.14493,0.77774,0.99999,1,0.995,0.9928,0.1299,0.08323,0.69165,0.003928,0.003928,0.003928
94,18996,0.19275,0.14639,0.77626,0.99999,1,0.995,0.99281,0.12977,0.0836,0.69163,0.003862,0.003862,0.003862
95,20007.6,0.1919,0.14474,0.77672,0.99999,1,0.995,0.99283,0.12971,0.08391,0.69154,0.003796,0.003796,0.003796
96,21022.2,0.19081,0.14493,0.77639,0.99999,1,0.995,0.99283,0.12957,0.08484,0.69147,0.00373,0.00373,0.00373
97,22036.4,0.1922,0.14465,0.77711,0.99999,1,0.995,0.99275,0.12959,0.08797,0.69142,0.003664,0.003664,0.003664
98,23051.8,0.19088,0.14382,0.77642,1,1,0.995,0.9928,0.12967,0.08633,0.69145,0.003598,0.003598,0.003598
99,24064.8,0.18916,0.14232,0.7743,1,1,0.995,0.99277,0.12969,0.08433,0.6914,0.003532,0.003532,0.003532
100,25079.4,0.19094,0.14306,0.77692,1,1,0.995,0.99283,0.12958,0.08578,0.69139,0.003466,0.003466,0.003466
101,26093.1,0.18959,0.14142,0.7764,1,1,0.995,0.99283,0.12967,0.08612,0.6913,0.0034,0.0034,0.0034
